longitude,latitude
-79.9561111,39.6294444
-122.2716667,37.8716667
-90.5786111,41.5094444
-79.7108333,42.2669444
-93.2686111,44.295
-82.5155556,40.7583333
-92.3338889,38.9516667
-89.4963889,45.3088889
-122.3308333,47.6063889
-111.5488889,33.415
-80.1627778,25.9327778
-118.2427778,34.0522222
-78.6305556,40.5030556
-86.7888889,35.4491667
-80.1627778,25.9327778
-120.2919444,47.4158333
-82.4611111,35.3186111
-94.2005556,46.3580556
-95.2352778,31.1911111
-122.4183333,37.775
-83.9583333,34.8761111
-88.2491667,35.2247222
-78.8897222,38.0683333
-97.8172222,34.6377778
-82.3541667,31.2133333
-102.0086111,33.5058333
-81.4888889,41.52
-122.9058333,44.5366667
-84.2338889,33.5441667
-104.9841667,39.7391667
-81.6558333,30.3319444
-116.2147222,33.7205556
-76.2625,42.1033333
-75.7036111,40.0063889
-97.7427778,30.2669444
-83.8194444,33.5394444
-84.0177778,33.6675
-80.3975,27.6383333
-80.23,27.2541667
-95.3630556,29.7630556
-92.1063889,46.7833333
-102.8388889,40.68
-80.0888889,41.1577778
-96.5769444,33.4213889
-104.9866667,39.8855556
-92.98,45.5113889
-73.865,42.6291667
-116.1030556,40.7138889
-87.5558333,37.9747222
-73.7566667,42.6525
-121.9875,37.5483333
-114.6236111,32.7252778
-86.25,41.6833333
